fact 	 coverage 
effect_down(s1,s10)	825
effect_down(s1,s11)	773
effect_down(s1,s12)	707
effect_down(s1,s13)	736
effect_down(s1,s15)	0
effect_down(s1,s16)	843
effect_down(s1,s17)	810
effect_down(s1,s18)	757
effect_down(s1,s19)	803
effect_down(s1,s2)	736
effect_down(s1,s20)	820
effect_down(s1,s3)	663
effect_down(s1,s4)	0
effect_down(s1,s5)	816
effect_down(s1,s6)	803
effect_down(s1,s7)	736
effect_down(s1,s8)	757
effect_down(s1,s9)	810
effect_down(s10,s1)	785
effect_down(s10,s11)	795
effect_down(s10,s12)	663
effect_down(s10,s13)	816
effect_down(s10,s15)	736
effect_down(s10,s16)	810
effect_down(s10,s17)	816
effect_down(s10,s18)	707
effect_down(s10,s2)	757
effect_down(s10,s20)	757
effect_down(s10,s5)	834
effect_down(s10,s6)	757
effect_down(s10,s8)	757
effect_down(s10,s9)	785
effect_down(s11,s1)	736
effect_down(s11,s10)	810
effect_down(s11,s13)	442
effect_down(s11,s15)	663
effect_down(s11,s16)	757
effect_down(s11,s18)	736
effect_down(s11,s19)	773
effect_down(s11,s2)	816
effect_down(s11,s20)	803
effect_down(s11,s3)	663
effect_down(s11,s4)	736
effect_down(s11,s5)	820
effect_down(s11,s6)	663
effect_down(s11,s7)	757
effect_down(s11,s8)	736
effect_down(s11,s9)	803
effect_down(s12,s1)	773
effect_down(s12,s10)	785
effect_down(s12,s11)	736
effect_down(s12,s13)	736
effect_down(s12,s14)	0
effect_down(s12,s15)	442
effect_down(s12,s16)	795
effect_down(s12,s17)	663
effect_down(s12,s18)	785
effect_down(s12,s19)	736
effect_down(s12,s2)	773
effect_down(s12,s20)	785
effect_down(s12,s3)	0
effect_down(s12,s4)	736
effect_down(s12,s5)	820
effect_down(s12,s6)	736
effect_down(s12,s7)	589
effect_down(s12,s8)	773
effect_down(s12,s9)	825
effect_down(s13,s1)	773
effect_down(s13,s10)	773
effect_down(s13,s11)	816
effect_down(s13,s12)	707
effect_down(s13,s15)	442
effect_down(s13,s16)	837
effect_down(s13,s17)	834
effect_down(s13,s18)	736
effect_down(s13,s19)	589
effect_down(s13,s2)	736
effect_down(s13,s20)	841
effect_down(s13,s5)	785
effect_down(s13,s6)	663
effect_down(s13,s9)	707
effect_down(s14,s1)	785
effect_down(s14,s10)	820
effect_down(s14,s11)	810
effect_down(s14,s12)	707
effect_down(s14,s13)	442
effect_down(s14,s16)	820
effect_down(s14,s17)	785
effect_down(s14,s18)	757
effect_down(s14,s2)	736
effect_down(s14,s20)	803
effect_down(s14,s3)	0
effect_down(s14,s4)	442
effect_down(s14,s5)	795
effect_down(s14,s6)	663
effect_down(s14,s7)	0
effect_down(s14,s8)	0
effect_down(s14,s9)	736
effect_down(s15,s1)	442
effect_down(s15,s10)	663
effect_down(s15,s11)	589
effect_down(s15,s13)	663
effect_down(s15,s14)	589
effect_down(s15,s16)	785
effect_down(s15,s17)	663
effect_down(s15,s18)	785
effect_down(s15,s19)	773
effect_down(s15,s2)	0
effect_down(s15,s20)	589
effect_down(s15,s3)	0
effect_down(s15,s4)	707
effect_down(s15,s5)	736
effect_down(s15,s6)	0
effect_down(s15,s8)	757
effect_down(s15,s9)	663
effect_down(s16,s1)	663
effect_down(s16,s10)	442
effect_down(s16,s11)	589
effect_down(s16,s12)	736
effect_down(s16,s13)	757
effect_down(s16,s14)	589
effect_down(s16,s15)	736
effect_down(s16,s17)	757
effect_down(s16,s18)	663
effect_down(s16,s19)	442
effect_down(s16,s2)	785
effect_down(s16,s20)	757
effect_down(s16,s3)	442
effect_down(s16,s5)	825
effect_down(s16,s6)	589
effect_down(s16,s8)	0
effect_down(s16,s9)	785
effect_down(s17,s1)	736
effect_down(s17,s10)	707
effect_down(s17,s11)	757
effect_down(s17,s13)	773
effect_down(s17,s15)	707
effect_down(s17,s16)	837
effect_down(s17,s18)	795
effect_down(s17,s19)	773
effect_down(s17,s2)	803
effect_down(s17,s20)	825
effect_down(s17,s5)	837
effect_down(s17,s6)	757
effect_down(s17,s8)	663
effect_down(s17,s9)	834
effect_down(s18,s1)	803
effect_down(s18,s10)	707
effect_down(s18,s11)	795
effect_down(s18,s12)	0
effect_down(s18,s13)	820
effect_down(s18,s14)	0
effect_down(s18,s15)	773
effect_down(s18,s16)	773
effect_down(s18,s17)	795
effect_down(s18,s19)	589
effect_down(s18,s2)	795
effect_down(s18,s20)	832
effect_down(s18,s3)	0
effect_down(s18,s4)	785
effect_down(s18,s5)	803
effect_down(s18,s6)	736
effect_down(s18,s7)	442
effect_down(s18,s8)	816
effect_down(s18,s9)	832
effect_down(s19,s10)	773
effect_down(s19,s11)	707
effect_down(s19,s12)	663
effect_down(s19,s13)	663
effect_down(s19,s14)	589
effect_down(s19,s15)	442
effect_down(s19,s16)	810
effect_down(s19,s17)	803
effect_down(s19,s18)	663
effect_down(s19,s2)	707
effect_down(s19,s20)	810
effect_down(s19,s3)	0
effect_down(s19,s4)	795
effect_down(s19,s5)	785
effect_down(s19,s6)	0
effect_down(s19,s8)	589
effect_down(s19,s9)	773
effect_down(s2,s1)	589
effect_down(s2,s10)	832
effect_down(s2,s11)	757
effect_down(s2,s12)	589
effect_down(s2,s13)	736
effect_down(s2,s15)	0
effect_down(s2,s16)	785
effect_down(s2,s17)	663
effect_down(s2,s18)	816
effect_down(s2,s19)	795
effect_down(s2,s20)	589
effect_down(s2,s3)	589
effect_down(s2,s4)	589
effect_down(s2,s5)	820
effect_down(s2,s6)	736
effect_down(s2,s7)	589
effect_down(s2,s8)	442
effect_down(s2,s9)	773
effect_down(s20,s1)	707
effect_down(s20,s11)	820
effect_down(s20,s12)	663
effect_down(s20,s13)	795
effect_down(s20,s15)	736
effect_down(s20,s16)	663
effect_down(s20,s17)	773
effect_down(s20,s19)	442
effect_down(s20,s2)	736
effect_down(s20,s4)	0
effect_down(s20,s5)	810
effect_down(s20,s6)	736
effect_down(s20,s7)	0
effect_down(s20,s8)	736
effect_down(s20,s9)	785
effect_down(s3,s1)	707
effect_down(s3,s10)	773
effect_down(s3,s11)	795
effect_down(s3,s12)	442
effect_down(s3,s13)	828
effect_down(s3,s15)	736
effect_down(s3,s16)	736
effect_down(s3,s17)	773
effect_down(s3,s18)	589
effect_down(s3,s19)	589
effect_down(s3,s2)	442
effect_down(s3,s20)	810
effect_down(s3,s4)	663
effect_down(s3,s5)	795
effect_down(s3,s6)	773
effect_down(s3,s7)	663
effect_down(s3,s8)	803
effect_down(s3,s9)	736
effect_down(s4,s1)	785
effect_down(s4,s10)	795
effect_down(s4,s11)	825
effect_down(s4,s12)	442
effect_down(s4,s14)	589
effect_down(s4,s15)	442
effect_down(s4,s16)	828
effect_down(s4,s17)	757
effect_down(s4,s18)	663
effect_down(s4,s19)	773
effect_down(s4,s2)	803
effect_down(s4,s20)	837
effect_down(s4,s3)	663
effect_down(s4,s5)	707
effect_down(s4,s6)	0
effect_down(s4,s7)	757
effect_down(s4,s8)	736
effect_down(s4,s9)	803
effect_down(s5,s1)	736
effect_down(s5,s10)	834
effect_down(s5,s11)	757
effect_down(s5,s12)	773
effect_down(s5,s13)	589
effect_down(s5,s15)	0
effect_down(s5,s16)	795
effect_down(s5,s17)	803
effect_down(s5,s18)	663
effect_down(s5,s19)	442
effect_down(s5,s2)	589
effect_down(s5,s20)	757
effect_down(s5,s3)	707
effect_down(s5,s4)	589
effect_down(s5,s6)	707
effect_down(s5,s7)	736
effect_down(s5,s8)	773
effect_down(s5,s9)	442
effect_down(s6,s1)	736
effect_down(s6,s10)	785
effect_down(s6,s11)	663
effect_down(s6,s12)	663
effect_down(s6,s13)	663
effect_down(s6,s15)	442
effect_down(s6,s16)	736
